45.12.163.0/24,FR,FR-IDF,Paris,
2a0c:b641:1c0::/44,FR,FR-IDF,Paris,
2a0c:b641:1c0::/47,FR,FR-IDF,Paris,
2a0c:b641:1c2::/48,DE,,,
